编号,X17.12.31,X18.01.07,X18.01.14,X18.01.21,X18.01.28,X18.02.04,X18.02.11,X18.02.18
1-A,2,5,7,8,13,15,19,14
1-B,2,4,8,8,17,18,20,17
1-C,2,4,6,8,12,13,15,23
1-D,2,4,6,9,12,13,15,26
1-E,2,4,7,7,14,14,15,15
1-F,2,6,9,9,20,21,23,16
1-G,4,4,4,7,12,13,15,11
1-H,2,4,8,10,13,13,14,7
1-I,4,6,9,12,14,15,18,13
1-J,4,7,11,11,15,15,19,8
1-K,2,2,5,7,14,15,17,27
1-L,4,6,9,9,14,16,19,17
1-M,4,4,6,8,13,13,16,6
1-N,4,6,10,10,15,17,18,13
1-O,4,4,9,10,17,18,22,22
1-P,4,5,5,7,11,11,15,6
1-Q,4,6,9,13,18,19,20,13
1-R,4,5,7,11,17,18,20,20
1-S,0,0,0,0,0,0,0,0
1-T,2,6,7,11,13,14,17,8
2-A,2,4,6,8,12,13,17,7
2-B,4,6,7,10,20,22,24,14
2-C,4,4,7,9,14,15,18,15
2-D,3,4,6,6,9,9,10,12
2-E,3,4,8,9,15,15,18,13
2-F,2,6,10,11,14,15,16,11
2-G,4,6,9,10,15,15,15,8
2-H,4,4,6,8,7,9,10,9
2-I,2,4,8,9,9,11,12,9
2-J,4,2,6,7,13,14,14,7
2-K,0,0,0,0,0,0,0,0
2-L,0,0,0,0,0,0,0,0
2-M,2,4,8,9,12,13,15,12
2-N,4,6,9,9,21,22,23,10
2-O,2,6,8,9,22,22,24,15
2-P,4,4,7,12,13,14,14,7
2-Q,2,3,4,6,8,9,9,8
2-R,4,2,5,6,9,10,11,9
2-S,4,6,10,13,13,13,14,8
2-T,4,6,10,11,12,13,14,7
3-A,2,5,7,12,18,20,23,18
3-B,4,6,8,9,12,13,16,10
3-C,3,8,10,11,12,15,18,17
3-D,0,0,0,0,0,0,0,0
3-E,4,4,7,9,11,12,13,6
3-F,2,4,8,9,13,15,18,6
3-G,2,4,9,11,18,20,22,15
3-H,4,4,4,8,10,13,15,10
3-I,2,6,10,11,11,12,13,9
3-J,4,7,9,12,11,13,15,13
3-K,2,2,4,5,10,10,14,13
3-L,2,4,7,8,15,16,17,9
3-M,4,6,9,10,14,15,16,13
3-N,2,4,5,7,10,13,17,12
3-O,5,4,6,8,10,11,12,9
3-P,2,2,6,8,11,13,15,8
3-Q,2,4,6,7,8,9,12,8
3-R,2,4,6,11,11,15,17,8
3-S,4,4,7,7,7,10,13,9
3-T,4,6,8,8,8,9,9,5
4-A,4,4,7,7,12,14,16,12
4-B,3,4,6,8,8,7,8,2
4-C,2,2,4,5,11,10,12,14
4-D,3,4,6,8,13,12,13,15
4-E,3,4,7,8,13,12,14,16
4-F,4,7,9,9,13,12,15,14
4-G,2,6,8,8,12,13,17,11
4-H,4,6,9,9,13,13,16,16
4-I,0,0,0,0,0,0,0,0
4-J,4,6,7,8,12,13,15,8
4-K,4,4,7,7,14,15,15,11
4-L,4,4,7,7,21,22,24,15
4-M,0,0,0,0,8,0,0,0
4-N,0,0,0,0,0,0,0,0
4-O,4,4,6,7,9,10,13,5
4-P,4,4,6,11,15,17,19,13
4-Q,4,4,8,12,13,14,15,9
4-R,2,4,8,12,16,15,17,19
4-S,4,6,9,14,20,15,16,10
4-T,2,4,6,9,9,9,10,5
5-A,2,6,8,8,17,18,19,10
5-B,2,4,6,6,12,13,14,14
5-C,2,4,7,8,13,13,16,17
5-D,0,0,0,0,0,0,0,0
5-E,2,4,7,7,13,14,14,16
5-F,2,6,9,10,20,22,25,14
5-G,3,6,8,8,15,17,20,12
5-H,2,6,7,7,7,7,8,7
5-I,2,4,8,8,12,13,13,9
5-J,4,4,7,9,8,9,12,9
5-K,2,4,7,7,14,15,19,12
5-L,2,4,6,8,12,14,15,11
5-M,4,4,5,6,8,9,13,15
5-N,4,4,5,7,7,9,11,13
5-O,4,4,6,7,12,13,15,11
5-P,4,6,10,13,18,20,20,12
5-Q,2,6,9,9,12,12,14,6
5-R,2,5,10,12,16,18,21,11
5-S,4,6,10,10,11,12,14,10
5-T,2,4,8,8,11,12,15,17
6-A,4,5,9,9,14,15,17,9
6-B,4,4,6,9,10,11,11,12
6-C,2,6,7,7,16,17,20,11
6-D,4,6,11,9,16,18,19,9
6-E,2,6,8,9,14,15,17,12
6-F,2,6,9,10,12,14,16,7
6-G,0,0,0,0,0,0,0,0
6-H,0,0,0,0,0,0,0,0
6-I,2,6,10,11,9,9,8,8
6-J,2,4,4,4,5,6,9,7
6-K,4,6,9,8,10,10,14,13
6-L,2,6,9,10,11,10,14,13
6-M,2,4,9,9,15,12,14,13
6-N,0,4,5,8,8,9,13,10
6-O,4,6,7,8,12,12,15,10
6-P,2,6,10,11,13,12,15,6
6-Q,0,0,0,0,0,0,0,0
6-R,2,5,8,9,12,11,14,10
6-S,4,6,10,11,14,11,12,12
6-T,2,4,8,10,12,10,11,12
7-A,4,5,4,5,14,16,19,16
7-B,4,6,7,8,9,10,11,7
7-C,2,4,6,7,10,12,13,6
7-D,4,5,5,7,13,14,15,10
7-E,3,4,6,7,17,19,20,8
7-F,2,4,8,9,8,9,13,6
7-G,4,6,7,9,10,12,16,10
7-H,2,2,5,8,8,9,10,5
7-I,2,4,6,7,9,10,13,4
7-J,4,6,7,9,10,10,14,9
7-K,4,6,6,8,15,18,19,13
7-L,2,2,5,8,15,18,20,12
7-M,3,4,6,6,11,12,14,11
7-N,2,4,6,6,12,13,16,10
7-O,2,6,7,10,16,18,20,10
7-P,4,6,8,9,9,9,13,5
7-Q,2,4,4,7,9,10,10,6
7-R,0,0,0,0,0,0,0,0
7-S,0,0,0,0,0,0,0,0
7-T,4,6,10,10,10,10,10,4
8-A,2,4,8,9,14,15,18,10
8-B,4,5,8,10,19,22,23,13
8-C,4,4,7,8,14,16,17,12
8-D,2,5,9,9,14,18,20,14
8-E,2,4,7,9,17,19,20,9
